author,tags,text
C.S. Lewis,"age,fairytales,growing-up",“Some day you will be old enough to start reading...
C.S. Lewis,god,“We are not necessarily doubting that God will do...
Mark Twain,"death,life",“The fear of death follows from the fear of life....
Mark Twain,"misattributed-mark-twain,truth",“A lie can travel half way around the world while...
C.S. Lewis,"christianity,faith,religion,sun",“I believe in Christianity as I believe that the s...
J.K. Rowling,truth,"“The truth."" Dumbledore sighed. ""It is a beautiful..."
Jimi Hendrix,"death,life",“I'm the one that's got to die when it's time for...
J.M. Barrie,"adventure,love",“To die will be an awfully big adventure.”
E.E. Cummings,courage,“It takes courage to grow up and become who you re...
Khaled Hosseini,life,“But better to get hurt by the truth than comforte...
Harper Lee,better-life-empathy,“You never really understand a person until you co...
Madeleine L'Engle,"books,children,difficult,grown-ups,write,writers,writing",“You have to write the book that wants to be writt...
Mark Twain,truth,“Never tell the truth to people who are not worthy...
Dr. Seuss,inspirational,"“A person's a person, no matter how small.”"
George R.R. Martin,"books,mind",“... a mind needs books as a sword needs a whetsto...
