id,number,bonus,date
18096,5500760,"17,140,456.67",2018-08-19
18095,9601630,"14,627,597.95",2018-08-17
18094,1256497,"11,511,589.46",2018-08-14
18093,8093961,"9,075,907.45",2018-08-12
18092,9752591,"11,369,601.44",2018-08-10
18091,0763133,"8,266,186.70",2018-08-07
18090,8788766,"5,931,806.53",2018-08-05
18089,1961867,"8,809,205.92",2018-08-03
18088,4876753,"12,355,404.71",2018-07-31
18087,3741665,"9,869,155.16",2018-07-29
18086,6098034,"12,534,095.96",2018-07-27
18085,6096160,"9,126,889.95",2018-07-24
18084,4495597,"6,752,805.19",2018-07-22
18083,4072619,"4,157,146.24",2018-07-20
18082,1104192,"6,251,346.23",2018-07-17
18081,5418864,"14,094,137.44",2018-07-15
18080,8344049,"11,756,782.27",2018-07-13
18079,1175951,"8,443,986.67",2018-07-10
18078,3488014,"6,341,609.19",2018-07-08
18077,6153047,"4,019,692.78",2018-07-06
18076,3112829,"1,000,000.00",2018-07-03
18075,1662738,"13,462,043.69",2018-07-01
18074,1486097,"11,095,136.91",2018-06-29
18073,3965800,"7,683,906.53",2018-06-26
18072,7965758,"15,404,644.67",2018-06-24
18071,0506366,"13,387,631.07",2018-06-22
18070,6659429,"15,030,740.51",2018-06-19
18069,1004308,"12,479,596.87",2018-06-17
18068,2776449,"10,233,807.57",2018-06-15
18067,7547356,"6,628,844.74",2018-06-12
18066,5503450,"4,096,174.70",2018-06-10
18065,2641300,"1,640,369.00",2018-06-08
18064,9611034,"8,017,837.18",2018-06-05
18063,1951581,"6,189,073.52",2018-06-03
18062,2683473,"5,006,322.64",2018-06-01
18061,0049637,"11,811,773.32",2018-05-29
18060,2270892,"8,970,200.75",2018-05-27
18059,8314676,"6,685,030.71",2018-05-25
18058,9164759,"3,489,226.79",2018-05-22
18057,9400192,"1,000,000.00",2018-05-20
18056,4723053,"8,745,552.91",2018-05-18
18055,9069418,"10,319,191.15",2018-05-15
18054,7289774,"13,032,221.00",2018-05-13
18053,1472547,"25,697,430.61",2018-05-11
18052,3778068,"23,091,852.83",2018-05-08
18051,6569633,"20,557,523.16",2018-05-06
18050,8012253,"18,134,090.10",2018-05-04
18049,7451317,"25,952,576.21",2018-05-01
18048,8208840,"23,836,540.20",2018-04-29
18047,3840830,"26,131,849.11",2018-04-27
18046,0224663,"22,345,821.85",2018-04-24
18045,6650909,"19,431,006.16",2018-04-22
18044,7368629,"21,659,252.89",2018-04-20
18043,0750139,"18,706,400.25",2018-04-17
18042,4740251,"20,749,468.95",2018-04-15
18041,6289953,"17,777,865.82",2018-04-13
18040,6544362,"14,064,447.93",2018-04-10
18039,6633358,"11,283,387.16",2018-04-08
18038,7283939,"8,592,909.41",2018-04-06
18037,6820298,"5,585,988.60",2018-04-03
18036,4464237,"8,304,751.00",2018-04-01
18035,6382607,"5,576,206.56",2018-03-30
