1015112406481054,大有钳途龙虾烧烤（建中路美食城店）,0,月售31,http://p0.meituan.net/waimaipoi/7dacaa3a571ef698990b3dd4f22212be247808.jpg,http://p0.meituan.net/aichequan/eb83cb963e67bc0ea4db4d7aef69d62f2578.png,37分钟,0,起送 ¥15,配送 ¥6,,1,,3.4km,,,"[{'info': '满39减20;满65减32;满98减48;满139减58', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5.9折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '领3元券;领5元券;领8元券', 'iconUrl': 'http://p0.meituan.net/xianfu/c2c0f31d0ebf0f60af115d058169c492992.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额0元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇建中路242弄257号底层F6、F7室,10:00-23:59
930480075938328,华莱士（炸鸡汉堡高木桥店）,46,月售9704,http://p1.meituan.net/waimaipoi/49c1ca64e1b0a8e72b4681ace57bef9638313.jpg,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,30分钟,0,起送 ¥15,配送 ¥5,,1,,2.5km,人均 ¥19,,"[{'info': '满36减19;满50减28;满80减40;满110减50', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品4.41折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额50元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇高木桥路707号,"00:00-02:30,08:45-23:55"
1106101288662862,叫了只炸鸡（张江店）,44,月售2327,http://p0.meituan.net/business/76df4b13b0a6b6a9b9f7d47f00866ae133433.jpg,,31分钟,0,起送 ¥15,配送 ¥5,,1,,652m,人均 ¥21,,"[{'info': '满32减30;满58减32;满85减40;满100减45;满150减58', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品4.45折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付50元返2元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}]",益江路135弄30号1层-3室,"00:00-03:00,09:00-23:59"
1124178806026600,曼玲粥店（张江店）,45,月售9999+,http://p1.meituan.net/waimaipoi/97f08296730d75b71b1b6825944d4bab186988.jpg,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,30分钟,0,起送 ¥15,配送 ¥5.5,,1,,3.0km,人均 ¥17,,"[{'info': '满27减15;满49减23;满79减26', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品2.84折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付1元返3元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇高斯路1240号-1室,00:00-23:59
1005388600528159,杨国福麻辣烫（高科路店）,37,月售4403,http://p0.meituan.net/waimaipoi/6ebf755b1451e9188fc9ffcb48c9172a42490.jpg,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,30分钟,0,起送 ¥15,配送 ¥5,,1,,466m,人均 ¥22,,"[{'info': '满29减17;满45减24;满60减30', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '满35元赠送康师傅奶茶1瓶', 'iconUrl': 'http://p1.meituan.net/xianfu/5ffe01c550a139db693d152cefd1b247869.png', 'promotionType': 2, 'activityId': 0}]",高科中路2860号SHZJ-101,00:00-23:59
861421296796547,串意十足烧烤店（鱼谷美食城店）,38,月售1514,http://p0.meituan.net/business/65c3e72130dbcc4b2baecc0de01cf0c3355087.png,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,33分钟,0,起送 ¥20,配送 ¥5,,1,,2.3km,人均 ¥20,,"[{'info': '满49减32;满78减40;满99减50;满108减55;满168减60', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品0.17折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '领5元券;领8元券;领10元券', 'iconUrl': 'http://p0.meituan.net/xianfu/c2c0f31d0ebf0f60af115d058169c492992.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付1元返5元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额0元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",唐镇唐安路1008，1010号1-2层,"00:00-02:30,16:00-23:59"
1007742242596902,切果NOW!【张江高科店】,48,月售291,http://p0.meituan.net/waimaipoi/babbb39fbafd5030835afda960c789f422785.jpg,http://p0.meituan.net/aichequan/eb83cb963e67bc0ea4db4d7aef69d62f2578.png,30分钟,0,起送 ¥20,配送 ¥6,,1,,644m,,,"[{'info': '折扣商品0.02折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额0元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇益江路135弄6号102室,"00:00-01:00,09:00-23:59"
917504979744788,魔锅坊麻辣香锅（唐安路店）,46,月售3785,http://p1.meituan.net/waimaipoi/ae1c61db92a356d7dcc6a3cd3ccc265688924.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥9,,1,,2.4km,人均 ¥23,,"[{'info': '满34减21;满56减27;满85减37;满135减46', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",唐镇唐安路1109号,"10:00-14:00,14:00-16:00,16:00-23:59"
1076083762226829,三米粥铺（张江店）,45,月售8584,http://p1.meituan.net/waimaipoi/339aeb47a0bff9d6ae6910309deb9aa811035.jpg,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,30分钟,0,起送 ¥15,配送 ¥5,,1,,843m,人均 ¥16,,"[{'info': '满25减13;满49减20;满79减25', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品3.02折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额50元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇盛夏路1099号二楼,00:00-23:59
901227053695810,凡仔汉堡（张江店）,45,月售3357,http://p0.meituan.net/wmproduct/e357ee571b730e9bca319df635dcb56953667.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,672m,人均 ¥15,,"[{'info': '满38减30;满54减32;满65减40;满78减47;满108减57', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品3.98折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付1元返2元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}]",浦东新区张江镇益江路135弄28号1层,"00:00-04:30,10:00-23:59"
883673522346171,悦蚝坊,42,月售558,http://p1.meituan.net/waimaipoi/c20ec1e43c5aa8d0b12092a161bed128206848.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,662m,人均 ¥35,,"[{'info': '满20减4;满60减12;满100减20;满160减32', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5.24折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇益江路135弄31号1层102室,"00:00-01:00,17:30-23:59"
977067586207671,巨味麻辣烫（唐镇一店）,45,月售9585,http://p0.meituan.net/waimaipoi/0b50f3eedaf18e9ffbbbd56a57627889142177.jpg,,32分钟,0,起送 ¥15,配送 ¥4,,1,,2.3km,人均 ¥13,,"[{'info': '满26减15;满40减23;满60减33', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",（浦东新区唐镇唐安路727号）,10:20-23:59
1112938876596300,重庆火锅米线,47,月售1456,http://p0.meituan.net/waimaipoi/2d1e23607c82195200fca23167888b0836864.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,674m,人均 ¥20,,"[{'info': '满25减18;满40减22;满65减29', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品6折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",益江路135弄28号,"00:00-02:00,09:40-14:30,16:30-23:59"
1116769987447257,海逸餐厅（张江店）,44,月售3780,http://p0.meituan.net/waimaipoi/da44cb4f751fa9828c8ead16dec4d40688018.jpg,,34分钟,1,起送 ¥20,夜间配送 ¥9,,1,,2.8km,人均 ¥32,"{'icon': 'http://p1.meituan.net/xianfu/a0b192ffdab672109d9f767dbd49653a919.png', 'recommendReason': '大众点评高分店铺', 'type': 3}","[{'info': '满30减8;满60减15;满99减20', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品8.23折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额0元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",中国（上海）自由贸易试验区孙桥路136号1-2层，140号1-2层,"00:00-01:50,10:00-23:58"
886606985000890,溪雨观酸菜鱼（张江店）,48,月售928,http://p1.meituan.net/waimaipoi/7652697ab777f50b47944b993c12eae343258.jpg,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,33分钟,1,起送 ¥30,夜间配送 ¥10,,1,,3.3km,人均 ¥48,"{'icon': 'http://p1.meituan.net/xianfu/a0b192ffdab672109d9f767dbd49653a919.png', 'recommendReason': '大众点评高分店铺', 'type': 3}","[{'info': '满30减20;满88减35;满148减45;满208减50', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品2.25折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额0元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",张江高科高斯路1092号（紫薇路口）,10:30-22:30
887122381096199,正新鸡排·汉堡烧烤(张江店),46,月售4563,http://p1.meituan.net/waimaipoi/948b5ce976fa4ee9c2a606b22cfa602a43555.jpg,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,30分钟,0,起送 ¥18,配送 ¥6,,1,,3.2km,人均 ¥19,"{'icon': 'http://p1.meituan.net/xianfu/a0b192ffdab672109d9f767dbd49653a919.png', 'recommendReason': '大众点评高分店铺', 'type': 3}","[{'info': '满40减18;满50减25;满60减32;满70减36', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品3.3折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",建中路125号,"00:00-01:55,10:00-23:59"
1092069630540470,东北烧烤.（中科路店）,43,月售759,http://p0.meituan.net/waimaipoi/02ca0a773237abd46ab62b6a2f496d7640960.jpg,,30分钟,0,起送 ¥30,配送 ¥8,,1,,1.6km,人均 ¥27,,"[{'info': '满48减6;满75减10;满100减15', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇中科路2645号1层-1室,"00:00-05:00,17:00-23:59"
1058006244868021,大胡子烧烤（孙桥路店）,44,月售876,http://p0.meituan.net/waimaipoi/c30c8ee9d8575fdf8f36353ede201f44145019.jpg,,37分钟,1,起送 ¥20,夜间配送 ¥9,,1,,3.0km,人均 ¥36,,"[{'info': '满50减6;满80减10;满150减20', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",孙桥路232号,"00:00-03:00,16:00-23:59"
975650246998231,辣翻天时尚川菜馆（盛夏店）,46,月售6875,http://p1.meituan.net/waimaipoi/e30fed0f059bc6d99593666ffbf344dc32601.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥7,,1,,934m,人均 ¥24,,"[{'info': '满30减10;满60减15;满90减20', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品6.98折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇盛夏路908号1层,09:30-23:30
979897969666630,邓记烧烤(龙虾),40,月售556,http://p1.meituan.net/business/0de85f75b84aff43823109f6e60c782a187656.png,,35分钟,0,起送 ¥15,配送 ¥6,,1,,2.4km,人均 ¥37,,"[{'info': '满48减12;满78减20;满98减28', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区唐安路695弄28、29、30、31号1层,"00:00-01:40,10:30-15:00,16:00-23:59"
888191827909786,悠可蜜儿（张江店）,43,月售2509,http://p1.meituan.net/waimaipoi/a184bcedfe09ebcb1f4f0c8af067f23064337.jpg,,30分钟,0,起送 ¥20,配送 ¥5,,1,,714m,人均 ¥18,,"[{'info': '满12减12;满32减19;满48减29;满65减39;满85减45', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品0.01折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",益江路135弄40号1层-3室,"00:00-02:05,09:58-23:59"
857590185982150,麻辣串(中科路店),47,月售1330,http://p1.meituan.net/waimaipoi/e4b884ebf78b34c4bda82b95a95accc340960.jpg,,30分钟,0,起送 ¥20,配送 ¥5,,1,,1.7km,人均 ¥21,,"[{'info': '满27减9;满40减14;满60减17;满80减22;满120减33', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇中科路2572号1层-2室,"00:00-01:30,16:00-23:55"
876007005702025,段氏龙虾烧烤,47,月售309,http://p1.meituan.net/waimaipoi/098e10674df75dbd796f60bc34895d1f32768.jpg,,38分钟,0,起送 ¥50,配送 ¥6,,1,,667m,,,"[{'info': '满128减16;满168减20;满288减30;满388减40;满500减55', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品8折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '领2元券', 'iconUrl': 'http://p0.meituan.net/xianfu/c2c0f31d0ebf0f60af115d058169c492992.png', 'promotionType': 2, 'activityId': 0}, {'info': '满168元赠送年糕一份', 'iconUrl': 'http://p1.meituan.net/xianfu/5ffe01c550a139db693d152cefd1b247869.png', 'promotionType': 2, 'activityId': 0}]",张江镇益江路135弄39号1层-2、2层,"00:00-02:00,15:00-23:59"
