1093852041943568,李师傅特色铁板炒饭炒面炒河粉,0,月售93,http://p0.meituan.net/waimaipoi/2bf8f8b29efed2b9ed32c38d9fbaee1028672.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,2.4km,,,"[{'info': '满25减2;满38减4;满49减7', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",浦东新区唐镇唐安路1055号1层,17:00-23:55
928220923102636,张姜小酒馆,38,月售301,http://p0.meituan.net/waimaipoi/c39ea3f3bfe12e376187aaf395ff73d511499.jpg,,34分钟,0,起送 ¥20,配送 ¥6,,1,,3.3km,人均 ¥28,,"[{'info': '满25减9;满50减16;满80减25', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇紫薇路18号一层,"00:00-03:00,16:00-23:59"
1101896515712077,凡仔汉堡炸鸡(中科路店),41,月售516,http://p1.meituan.net/waimaipoi/31aebcb1f90934aeebe9b39a64e79d0c34816.jpg,,32分钟,0,起送 ¥15,配送 ¥5,,1,,1.6km,人均 ¥21,,"[{'info': '满28减23;满52减33;满68减43;满78减46;满100减52', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",中科路2647号,"00:00-03:31,10:00-23:59"
930729184055339,华莱士（炸鸡汉堡建中店）,46,月售1681,http://p1.meituan.net/waimaipoi/49c1ca64e1b0a8e72b4681ace57bef9638313.jpg,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,30分钟,1,起送 ¥20,夜间配送 ¥10,,1,,3.5km,人均 ¥22,,"[{'info': '满36减19;满50减28;满80减40;满110减50', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品4.41折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额50元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东区 张江镇 建中路242弄3#25号,"00:00-01:50,09:35-23:45"
909383196599541,炒面大师,43,月售2768,http://p0.meituan.net/waimaipoi/047ff032a13fc7fe2a9e97bfa7312227231594.jpg,,43分钟,0,起送 ¥15,夜间配送 ¥7,,1,,4.4km,人均 ¥19,,"[{'info': '满30减14;满50减24;满100减38', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5.8折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",德川路369弄309号,"00:00-02:00,09:30-23:59"
1088324419057803,老姜家东北菜,38,月售3876,http://p1.meituan.net/waimaipoi/87dacf7e8f77a665efe7ca7b4b3a64f5354694.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥9,,1,,3.4km,人均 ¥22,,"[{'info': '满30减15;满60减28;满99减38;满200减60', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '领2元券;领5元券;领8元券', 'iconUrl': 'http://p0.meituan.net/xianfu/c2c0f31d0ebf0f60af115d058169c492992.png', 'promotionType': 2, 'activityId': 0}, {'info': '满200元赠送大可乐1瓶', 'iconUrl': 'http://p1.meituan.net/xianfu/5ffe01c550a139db693d152cefd1b247869.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额100元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",张江建中路242弄F7,"09:30-15:59,16:00-23:59"
868958964386928,茶谷地（张江建中路店）,48,月售193,http://p0.meituan.net/waimaipoi/d57cd8c618e2505d722a8159850b1e3b19538.jpg,,30分钟,0,起送 ¥15,配送 ¥6,,1,,3.0km,人均 ¥16,,"[{'info': '满20减2;满35减5;满50减10;满75减15;满100减20', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品9.31折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付33元返3元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇建中路91号1层,10:00-23:59
1065144480530989,淮南牛肉汤（张江路店）,42,月售1204,http://p0.meituan.net/waimaipoi/2017329b5da8cb397dc1858f050060f076265.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,3.0km,人均 ¥19,,"[{'info': '满25减8;满40减10', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",浦东新区张江镇张江路672号,"00:00-01:00,09:30-23:59"
1035023874868608,段氏龙虾（建中路288号店）,50,月售146,http://p0.meituan.net/waimaipoi/c4da549c0f4297695e737b7fe5e0710854250.jpg,,37分钟,0,起送 ¥15,配送 ¥6,,1,,3.4km,,,"[{'info': '满100元赠送500毫升易拉三得利纯生', 'iconUrl': 'http://p1.meituan.net/xianfu/5ffe01c550a139db693d152cefd1b247869.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇建中路288号1-2层,"00:00-02:30,10:00-23:59"
1049085597812652,徐氏汉东龙虾（新德路店）,44,月售197,http://p0.meituan.net/waimaipoi/db51ab4c9cfa6cc1d28a4e4273dd97df38744.jpg,http://p0.meituan.net/aichequan/eb83cb963e67bc0ea4db4d7aef69d62f2578.png,55分钟,0,起送 ¥50,配送 ¥12,,1,,7.2km,,,"[{'info': '满88减10;满138减20;满238减30', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",浦东新区川沙新镇新德路708号底层,"00:00-02:30,16:30-23:59"
1035681004910129,子凌砂锅麻辣烫齐爱店,44,月售2792,http://p1.meituan.net/waimaipoi/82298d812224cf942f0099bd3d14f4c4113812.jpg,,31分钟,0,起送 ¥15,配送 ¥6,,1,,3.5km,人均 ¥16,,"[{'info': '满26减15;满38减18;满51减26;满81减35', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",浦东新区唐镇齐爱路499号,09:50-23:45
948136686514685,兰州拉面（益江店）,46,月售538,http://p0.meituan.net/waimaipoi/4b31f5fdbc991afb4a82c4218de6221068863.jpg,,30分钟,0,起送 ¥20,配送 ¥5,,1,,713m,人均 ¥25,,"[{'info': '满100减1', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",上海浦东新区张江镇益江路135号13号102室,10:10-22:50
871600369302166,木子时光港式甜品（张江店）,50,月售176,http://p0.meituan.net/wmproduct/51614e150364bfdd3e1ad13f725ddd75195554.jpg,,40分钟,0,起送 ¥30,配送 ¥7,,1,,2.7km,人均 ¥24,,"[{'info': '满25减10;满55减16;满85减23;满100减28;满180减45', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品2.78折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '领3元券', 'iconUrl': 'http://p0.meituan.net/xianfu/c2c0f31d0ebf0f60af115d058169c492992.png', 'promotionType': 2, 'activityId': 0}]",张江路796号1层,"00:00-02:00,13:30-23:59"
945598360790784,渝幺妹重庆小面（孙桥店）,46,月售266,http://p1.meituan.net/waimaipoi/4e6b9445794164d5f615d65d4c8abf5c177978.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥9,,1,,3.3km,人均 ¥24,,"[{'info': '满25减5;满40减8;满69减15', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇孙桥路228号1层（孙桥路294号）,08:00-23:20
1110628184196440,东北烧烤,0,月售55,http://p0.meituan.net/waimaipoi/5b12de311e3f26fa9087eab1cfa3599b47104.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,339m,,,"[{'info': '满35减5;满50减8', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",张东路2201弄,"00:00-02:00,17:00-23:59"
1065934754537262,过桥米线,46,月售321,http://p1.meituan.net/waimaipoi/5bfb6c3552beb5e63714c1c7b49ca13268984.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,381m,人均 ¥22,,,上海市浦东新区张江镇张东路2201弄90附近,09:30-23:59
1111272429271454,西域郎烧烤（进贤路）,43,月售1017,http://p1.meituan.net/waimaipoi/14317e4e8a49066435735704fffb90b972479.jpg,,42分钟,0,起送 ¥20,夜间配送 ¥13,,1,,7.1km,人均 ¥33,,"[{'info': '满50减12;满100减18;满150减30', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",川沙镇城西路283号,"00:01-02:35,17:00-23:59"
1045709753539069,淮南牛肉汤(孙桥路店),46,月售729,http://p1.meituan.net/business/68c2f4a7d5ef76b8fef041098d58abf0113569.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥8,,1,,2.8km,人均 ¥22,,"[{'info': '满25减6;满40减10;满60减15;满100减20', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '满50元赠送品牌饮料一瓶', 'iconUrl': 'http://p1.meituan.net/xianfu/5ffe01c550a139db693d152cefd1b247869.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇孙桥路120号1层–1室,10:00-23:59
894359400964227,喜串烧烤达人,35,月售425,http://p1.meituan.net/waimaipoi/510b1baa27fe8d4ffc0cd17ebc90745d158802.jpg,,36分钟,0,起送 ¥20,配送 ¥6,,1,,3.4km,人均 ¥42,"{'icon': 'http://p1.meituan.net/xianfu/a0b192ffdab672109d9f767dbd49653a919.png', 'recommendReason': '大众点评高分店铺', 'type': 3}","[{'info': '满35减5;满78减10;满118减15;满158减20', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇建中路242弄29号1层-1室,"00:00-01:00,17:00-23:59"
900522679062203,美阿丽韩国料理,38,月售344,http://p1.meituan.net/waimaipoi/16b3fdf10b03349396843622c420e8d327907.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥8,,1,,2.8km,人均 ¥26,"{'icon': 'http://p1.meituan.net/xianfu/a0b192ffdab672109d9f767dbd49653a919.png', 'recommendReason': '大众点评高分店铺', 'type': 3}","[{'info': '满35减13;满53减18;满80减25', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",浦东新区张江镇张江路746号,09:00-22:30
1064856717701490,卷么卷饼粥,46,月售1055,http://p0.meituan.net/business/a7380d0e9f898ebe3f12a0f960984387398374.jpg,,40分钟,0,起送 ¥15,夜间配送 ¥9,,1,,5.2km,人均 ¥21,,"[{'info': '满25减20;满49减24;满73减28', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5.53折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",新德西路100弄101号,10:00-23:59
889952764502991,乡味烤猪蹄,48,月售901,http://p0.meituan.net/waimaipoi/0a3cb48d6edbebb9bd4a4ac8da04687722833.jpg,,30分钟,0,起送 ¥25,配送 ¥5,,1,,600m,人均 ¥37,,"[{'info': '满30减4;满50减6;满70减8;满90减10', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区益江路135弄47号,10:00-23:55
1002188849909515,段氏龙虾（中科路店）,0,月售42,http://p1.meituan.net/waimaipoi/b466c4cebe5ca7d1ed8f0e452a80d7f424229.jpg,,44分钟,0,起送 ¥38,配送 ¥3,,1,,1.8km,,,"[{'info': '满50减15;满100减28;满200减45', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品7.81折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇中科路2532号1-2层,"00:00-03:00,16:00-23:59"
1002188849909515,段氏龙虾（中科路店）,0,月售42,http://p1.meituan.net/waimaipoi/b466c4cebe5ca7d1ed8f0e452a80d7f424229.jpg,,44分钟,0,起送 ¥38,配送 ¥3,,1,,1.8km,,,"[{'info': '满50减15;满100减28;满200减45', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品7.81折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇中科路2532号1-2层,"00:00-03:00,16:00-23:59"
940903961530819,微笑便当(张江店),44,月售2797,http://p0.meituan.net/waimaipoi/d3f6cfe2704b692d65c99ba6bd3e62ab15024.jpg,,35分钟,0,起送 ¥20,配送 ¥6,,1,,3.4km,人均 ¥22,,"[{'info': '满25减20;满65减30;满100减40;满150减50;满200减68', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品4.43折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付38元返3元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额0元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇建中路242弄257号F21,10:00-23:00
924480006590407,麻辣香锅（日月光店）,43,月售1294,http://p0.meituan.net/waimaipoi/e867053d1fc4ca17e3447f39a0b1f96872409.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥7,,1,,729m,人均 ¥18,,"[{'info': '满28减16;满42减20;满69减30;满99减40', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",高科中路2947号美食城一楼,10:00-22:30
1072583363859917,外婆湾骨汤麻辣烫（孙桥路店）,43,月售2438,http://p0.meituan.net/waimaipoi/16edadf58f2295d52aa51f7ce91e8947123744.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,2.6km,人均 ¥21,,"[{'info': '满25减17;满38减19;满46减24;满80减33', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5.68折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付45元返2元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇孙桥路18号101室D区,"00:00-03:00,09:00-23:59"
958899874526134,济南府黄焖鸡米饭（德川路店）,44,月售590,http://p1.meituan.net/waimaipoi/3dd728291fd00186ccc7dbec73279fef88911.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥10,,1,,4.4km,人均 ¥18,,"[{'info': '满25减14;满35减18;满50减21;满100减23', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区荣川路148号1-2层,09:59-23:59
862804276225607,老地方炒饭,0,月售428,http://p0.meituan.net/waimaipoi/760a83eea57233560d98bf36271d090432768.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,868m,人均 ¥19,,"[{'info': '满28减4', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇益江路与盛夏路交叉口西50米路北,17:00-23:32
1103674632127388,蜀都冒菜,36,月售597,http://p1.meituan.net/waimaipoi/dd4aa83811f24aabe4ef5d51280b2998199332.jpg,,32分钟,0,起送 ¥15,配送 ¥6,,1,,3.0km,人均 ¥19,,"[{'info': '满30减17;满60减30;满105减50', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品3.61折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江路666号,09:30-23:45
910169175572259,重庆鸡公煲&巫山烤全鱼,44,月售849,http://p0.meituan.net/waimaipoi/7577683f45863dc251d91220603efb68133735.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥8,,1,,3.0km,人均 ¥30,,"[{'info': '满25减18;满85减21;满135减23', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品7.44折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付50元返3元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额100元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",孙桥路210号,"00:00-01:30,09:40-23:59"
1099744737055599,张亮麻辣烫(唐安路店）,44,月售743,http://p0.meituan.net/waimaipoi/f23cdab234701c24c9832575c706712e113361.jpg,,30分钟,0,起送 ¥20,配送 ¥6,,1,,2.4km,人均 ¥19,,"[{'info': '满10减5;满25减13;满35减17;满45减22;满65减30', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '领4元券', 'iconUrl': 'http://p0.meituan.net/xianfu/c2c0f31d0ebf0f60af115d058169c492992.png', 'promotionType': 2, 'activityId': 0}]",浦东新区唐镇唐安路1117号,10:30-23:30
938576089300693,鱼你同行酸菜鱼（益江路店）,42,月售1225,http://p0.meituan.net/waimaipoi/fad14297748a166804b77d67a05e01af30638.jpg,,30分钟,0,起送 ¥20,配送 ¥5,,1,,703m,人均 ¥17,,"[{'info': '满30减29;满60减35;满80减45;满120减60', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付20元返3元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}]",益江路135号25号2层-2,09:00-23:00
1120515198894189,正新鸡排（向日葵店）,40,月售455,http://p1.meituan.net/waimaipoi/948b5ce976fa4ee9c2a606b22cfa602a43555.jpg,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,30分钟,0,起送 ¥15,配送 ¥5,,1,,628m,人均 ¥16,,"[{'info': '满40减18;满50减25;满60减32;满70减36', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品4.56折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",益江路135弄-53,10:30-22:40
1032704592511620,乡味熟食店,39,月售140,http://p0.meituan.net/waimaipoi/9e5c4d5d2de2565a9b3d84ee347eee1954831.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥7,,1,,599m,人均 ¥41,,"[{'info': '满30减6;满50减12;满80减22;满100减28', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",益江路135弄,10:00-23:59
1059041331991195,福建千里香馄饨王,42,月售369,http://p0.meituan.net/waimaipoi/48ab7f2adf4034180f1273852cc36e1928672.jpg,,30分钟,0,起送 ¥15,配送 ¥4,,1,,2.4km,人均 ¥18,,"[{'info': '满22减2;满32减3;满47减5', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '满35元赠送乌江榨菜一包22克', 'iconUrl': 'http://p1.meituan.net/xianfu/5ffe01c550a139db693d152cefd1b247869.png', 'promotionType': 2, 'activityId': 0}]",唐安路1049号,06:30-23:40
862233045591744,阿坤黄焖鸡米饭,44,月售1563,http://p0.meituan.net/waimaipoi/bd442a958e9b52435ebc5dc97bdf8ab1387484.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥9,,1,,3.1km,人均 ¥23,,"[{'info': '满30减15;满50减20;满90减30', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品8折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",浦东新区康桥镇孙桥路234号,"00:00-03:14,09:30-23:59"
1087504080264535,淮南牛肉汤,45,月售357,http://p0.meituan.net/business/4d0444c1fcbc17009f1945f38a4a0a0758479.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,1.7km,,,"[{'info': '满25减14;满45减22;满65减30', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品6折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇中科路2570号1层–1室,09:45-22:45
1033950133090649,初心,43,月售850,http://p0.meituan.net/waimaipoi/766d21087242c9cae2268b2ef2f0c63444296.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥7,,1,,747m,,,"[{'info': '满20减10;满21减18;满77减41;满100减51', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品4.8折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '领3元券', 'iconUrl': 'http://p0.meituan.net/xianfu/c2c0f31d0ebf0f60af115d058169c492992.png', 'promotionType': 2, 'activityId': 0}]",张江镇益江路135弄8号一层101室,09:30-22:30
1030106137308841,中国兰州牛肉拉面（孙桥店）,50,月售176,http://p1.meituan.net/waimaipoi/b16bdf988c6d968b2d3bf4c41fe873a7104448.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥9,,1,,3.4km,人均 ¥27,,"[{'info': '满30减6;满50减10', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",张江镇孙桥路349号1层,09:00-23:56
989802164216258,山东水饺（中科路西店）,49,月售312,http://p1.meituan.net/waimaipoi/a93db54867fa8c3f0154e2c5e1f80ec6235835.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥8,,1,,2.4km,人均 ¥19,,"[{'info': '满20减15;满50减20;满90减40', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区中科路2142号,06:30-23:55
908537088032906,觅姐汤可以喝的麻辣烫（高木桥路店）,38,月售1118,http://p0.meituan.net/business/8f347dfb4c3edaebac585b7a17123851424288.png,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,30分钟,0,起送 ¥15,配送 ¥5,,1,,2.6km,人均 ¥21,,"[{'info': '满25减13;满38减17;满45减22;满70减30', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品0.8折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '下单多减1元,限05:00-10:30', 'iconUrl': 'http://p0.meituan.net/xianfu/538a2adfab46a37ec42853aece765704603.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区高木桥路559号101室,"00:00-01:00,10:00-23:59"
